plant,disease,image_path,date,location,lat,lon,condition,recommendation
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/bd4db2715ed7ffd4f101070e116abed9.jpg,2025-09-16,Simalungun,2.943563820448826,99.03017407414394,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/47b03c0bce97b317c9e9eb8e284e2986.jpg,2026-02-20,Karo,3.167306511556106,98.42538271043395,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/0205c360c3624329b7d7554e4987b48c.jpg,2024-04-09,Karo,3.170846461695743,98.4114980394176,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/5fbdf04b87225f28297958e274256896.jpg,2024-07-31,Simalungun,2.8269144604594727,98.98616937949313,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/51f508e53d555833ee89cdcda5bdb455.jpg,2025-11-01,Simalungun,2.839922444438087,98.92170201615009,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/9c9ec75119933ac749a4ae4a28f27cc0.jpg,2025-03-02,Karo,3.1694689196078207,98.45173771407903,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/771a0fa9ae4a868a4e4be6b8182590a4.jpg,2025-03-27,Simalungun,2.953194086109858,98.98046459176197,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/86c25c213371a35604354a6f4633ba57.jpg,2024-07-16,Karo,3.0262293832196696,98.5356221755834,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/18b8bb2a74ad51e8853bbdc9d1cd697c.jpg,2025-10-02,Simalungun,2.8310166157090504,98.98409467509143,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/9e523a94952048c1c912413a44647ebd.jpg,2024-11-16,Simalungun,2.8802818454083754,98.95663274599704,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/29944c3f4de656f013a8883809d3daa5.jpg,2025-01-25,Simalungun,2.8685338292585594,98.93859954021976,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/c81791e72b0fe3ef4e1bc1687f5c8a54.jpg,2025-11-05,Karo,3.1539674429306346,98.51488217501482,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/3142dcf2206056902dac83489318ff20.jpg,2025-05-19,Simalungun,2.847896836199238,99.02819083590953,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/3b3f3d9eb925cbb83ec1fe5d31756cc8.jpg,2025-08-21,Karo,3.1479229311340773,98.43720551930674,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/ae9b9d5e6fa5ae886cad24da390a17d5.jpg,2024-11-10,Simalungun,2.9092415132762808,98.98326340459104,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/23d6ef190dc4cfd0422f9c99fde9e3a2.jpg,2024-04-03,Simalungun,2.9426344961923676,98.94494363822339,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/0195a3a96a028e6de4127bd1b655e868.jpg,2025-12-06,Karo,3.061965391598103,98.52208140839058,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/b243ace43478a5bbee44edbca57b45c2.jpg,2025-07-05,Simalungun,2.90293343763523,98.96623050651957,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/deefea34712d7f25b356d18378a73509.jpg,2024-04-19,Karo,3.043614872684523,98.42481483755492,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/caec5b37d5a179e8505426cc5447a331.jpg,2024-06-17,Karo,3.169232053900901,98.41873444843289,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/2fced070ae5881c510c1a469438fbd13.jpg,2026-01-14,Simalungun,2.908409366054954,98.9571248623839,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/b7207f41bc320adca460eeefff9c5998.jpg,2024-11-13,Simalungun,2.840935722228092,98.96766531222985,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/e5ae2eedbcb43037113795266c2f4140.jpg,2024-10-18,Karo,3.0515482613558365,98.43848061212502,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/51eae7ecd67c8f055b3a7f4f3e6834ec.jpg,2025-02-28,Simalungun,2.852343620871107,99.04172635484561,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/c5dd6308e32c31ffdcac6575b5aefdda.jpg,2025-09-20,Karo,3.069169325564297,98.434643822919,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/196a212a536905d2af14c6084ea28a23.jpg,2026-01-19,Simalungun,2.888271312896315,99.06328418210276,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/0714029b071ede752c0fe8ae4561661d.jpg,2024-12-11,Simalungun,2.9834624140440518,98.95619670039207,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/f096802dba3611d17e37291b48d3922c.jpg,2026-03-18,Karo,3.0671369315632715,98.5200679264342,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
tomato,target_spot,/root/.cache/kagglehub/datasets/pppiiiy/data-science-data/versions/1/combined/tomato/target_spot/66ac8fcda913358ed445671914d2a396.jpg,2026-01-25,Karo,3.1399066219557272,98.50948243007223,"Suhu hangat, Kelembaban tinggi",Semprotkan fungisida Mankozeb.
